Project Name,Project Link,Parent Category,Category Name,Location,Currency,Goal Amount,Pledged Amount,Percent Funded,Duration,Days Left,Description Length,Risk Desc Count,Is Project We Love,Image Count,Video Count,Success
A Ski Slope at Burning Man!,https://www.kickstarter.com/projects/majortrouble/a-ski-slope-at-burning-man?ref=discovery_ending_soon,Art,Public Art,USA,USD,35000.0,8475.55,24,30,53,72,268,0,29,1,0
Lobo,https://www.kickstarter.com/projects/maquinadiferencial/maquina-diferencial-numero-13?ref=discovery_ending_soon,Music,Indie Rock,Spain,EUR,3500.0,3832.0,109,60,53,130,0,0,7,1,1
Transforming Pen V3: An Elegant Office & An EDC Pocket Pen,https://www.kickstarter.com/projects/ssdesign/transforming-pen-v3-an-elegant-office-and-an-edc-pocket-pen?ref=discovery_ending_soon,Design,Product Design,USA,USD,1000.0,7921.0,792,30,53,133,529,0,21,2,1
4D Pack: triple your backpack & suitcase capacity!,https://www.kickstarter.com/projects/fitness-outdoor-mask/4d-pack-triple-your-backpack-suitcase-travel-capacity?ref=discovery_ending_soon,Design,Product Design,USA,USD,3500.0,288710.0,8248,29,53,126,315,0,55,1,1
Ground of Aces - The World War II base building game,https://www.kickstarter.com/projects/blindflugstudios/ground-of-aces?ref=discovery_ending_soon,Games,Video Games,Switzerland,EUR,30000.0,89340.0,297,30,54,127,342,1,81,1,1
Dry Pillow - Moisture Absorbing Disposable Pillowcase,https://www.kickstarter.com/projects/502096712/dry-pillow-moisture-absorbing-disposable-pillowcase?ref=discovery_ending_soon,Technology,Gadgets,USA,USD,5000.0,123.0,2,30,49,53,574,0,12,1,0
Friend Shaped Fossils - Eco-friendly Tote bags!,https://www.kickstarter.com/projects/cleverbunnycompany/friend-shaped-fossils-eco-friendly-tote-bags?ref=discovery_ending_soon,Art,Illustration,UK,GBP,400.0,779.0,194,30,49,93,749,0,34,0,1
AIR RAID 36/46 - a WWII Aircraft Miniatures Game,https://www.kickstarter.com/projects/babekamelizadeh/air-raid-36-46-a-wwii-aircraft-tabletop-game?ref=discovery_ending_soon,Games,Tabletop Games,Germany,EUR,1300.0,8037.0,618,21,49,80,2232,0,67,1,1
Koni Waves,https://www.kickstarter.com/projects/koniwaves/koni-waves?ref=discovery_ending_soon,Comics,Graphic Novels,USA,USD,100.0,444.0,444,30,49,133,183,0,33,1,1
"YOU'VE GOT A BRAIN, NOT A HARD DRIVE",https://www.kickstarter.com/projects/489607393/youve-got-a-brain-not-a-hard-drive-by-rebecca-savill?ref=discovery_ending_soon,Publishing,Nonfiction,UK,GBP,1300.0,468.0,36,30,50,99,328,0,14,0,0
AI That Calls Companies For You: Introducing Skip The Robot,https://www.kickstarter.com/projects/skiptherobot/never-wait-on-hold-again-introducing-skip-the-robot?ref=discovery_ending_soon,Technology,Apps,USA,USD,5000.0,231.0,4,30,50,133,1287,0,23,2,0
18Rhl-Rhineland,https://www.kickstarter.com/projects/wj1/18rhl-rhineland?ref=discovery_ending_soon,Games,Tabletop Games,Germany,EUR,25000.0,25901.0,103,20,50,84,1395,0,30,0,1
Changing Chains,https://www.kickstarter.com/projects/changingchains/changing-chains?ref=discovery_ending_soon,Fashion,Jewelry,Italy,EUR,1000.0,36.0,3,30,50,23,365,0,18,1,0
Moggie: the smart wearable device for cats,https://www.kickstarter.com/projects/moggie/moggie-the-smart-wearable-device-for-cats?ref=discovery_ending_soon,Design,Product Design,UK,GBP,10000.0,31102.0,311,31,55,126,1002,1,42,1,1
Musclemoulder: Mobile gym for all kinds of workout,https://www.kickstarter.com/projects/musclemoulder/mobile-gym-for-all-kinds-of-workout?ref=discovery_ending_soon,Design,Product Design,USA,USD,5000.0,6265.0,125,29,56,123,1172,0,75,4,1
International Cheesesteak,https://www.kickstarter.com/projects/robertdickerson/international-cheesesteak?ref=discovery_ending_soon,Food,Food Trucks,USA,USD,10000.0,2.0,0,15,57,103,185,0,7,0,0
Portland Horse Project Photo Book,https://www.kickstarter.com/projects/scottwayneindiana/portland-horse-project-photo-book?ref=discovery_ending_soon,Publishing,Art Books,USA,USD,5000.0,5228.0,104,30,55,109,761,1,19,1,1
Beasts,https://www.kickstarter.com/projects/escritia/beasts-2?ref=discovery_ending_soon,Games,Tabletop Games,UK,GBP,1200.0,95.0,7,60,56,15,228,0,29,1,0
